23.25,23.75,24,24.75,24.75,24.25,24,23.5,22.5,24,23.5,25,24.25,24,23.75,23.5,22.25,22.75,23,23,22.5,22.5,22.5,23.25,23.25,23.25,23,22.75,23,23.5,22.75,23.5,22.25,23,23,23.75,25.25,26.25,27.75,24.25,22.75,23,23,24.25,24.75,26.25,26.25,24.5,23.25,23.5,23.25,23.25,24,23.25,24.25,23.5,23,24.5,23.25,23.25,23.75,23.75,24,23.75,1
23.25,23.5,24.25,25.25,24.75,24.25,23.75,23.75,22.75,24,23.5,25,24.5,24,24,23.25,22.75,23.25,23.25,23,22.75,22.5,22.25,23.25,23,23.25,22.75,22.75,23,23.5,22.75,23.5,22.75,23,23,23.75,25.25,26.25,27.75,24.25,22.75,23,23,24.25,24.75,26.25,26.25,24.5,23.25,23.5,23.25,23.25,24,23.25,24.25,23.5,23,24.5,23.25,23.25,23.75,23.75,24,23.75,1
23.25,23.5,24.25,25.25,24.75,24.25,23.75,23.75,22.75,24,23.5,25,24.5,24,24,23.25,22.25,23.25,23.25,23,22.75,22.25,22.5,23.25,23,22.75,23,22.75,23.25,23.5,23,23.5,22.5,22.75,23,24,25.25,26.5,27.75,24,23.25,23.25,23.5,24.25,25.75,26.25,26.25,24.25,23,23.25,23,23.5,23.75,23.75,24.5,24,23.5,25.25,23.25,23.75,24.5,23.75,23.75,24.25,1
22.75,23.25,23.75,25,24.75,24.75,24,24,23,23.75,23.5,25,24.25,24.5,23.5,23.25,22.25,23.25,23.25,23,22.75,22.25,22.5,23.25,23,22.75,23,22.75,23.25,23.5,23,23.5,22.5,22.75,23,24,25.25,26.5,27.75,24,23.25,23.25,23.5,24.25,25.75,26.25,26.25,24.25,23,23.25,23,23.5,23.75,23.75,24.5,24,23.5,25.25,23.25,23.75,24.5,23.75,24.25,24.25,1
23,23.5,24,25.5,24.75,24,24.5,23.5,22.25,24.25,23.75,25.25,24.25,23.75,23.75,24,21.75,23,23.25,23,23.25,23,23,24,22.75,23.25,23.5,23,23,22.75,22.5,23,22.25,22.75,23.25,24,25.25,26.75,27.5,24,22.75,23,23.75,24.25,25.5,26,26.75,24.75,23.25,23.25,23.5,23.75,24.25,23.5,24.75,23.75,23,24.5,23.5,23.75,24.25,23.5,24.25,24.25,1
23,23.5,24,25.5,24.75,24,24.5,23.5,22.25,24.25,23.75,25.25,24.25,23.75,23.75,24,21.75,23,23.25,23,23.25,23,23,24,22.75,23.25,23.5,23,23,22.75,22.5,23,23,22.75,23.25,24.25,25.5,26.75,28,24.5,22.5,23.25,23.25,24.5,25.5,26.5,26.5,24.75,23.25,24,23.5,23.75,24.25,24,24.5,23.75,23.75,25,23.5,24,24.25,24.25,23.5,24.5,1
23,24,24.25,24.75,24.5,24.75,23.5,24,22.75,23.75,23.75,25,24,24.25,24,23.5,22.5,23,23,23.5,22.75,22.75,23.25,23.75,23.5,23.5,23,23.5,22.5,22.5,23,23.5,23,22.75,23.25,24.25,25.5,26.75,28,24.5,22.5,23.25,23.25,24.5,25.5,26.5,26.5,24.75,23.25,24,23.5,23.75,24.25,24,24.5,23.75,23.75,25,23.5,24,24.25,24.25,23.5,24.5,1
23,24,24.25,25.25,25,24.25,24,23.5,22.75,24,23.75,25.25,24.75,24.5,23.75,23.25,22,22.75,23,23.5,22.75,22.25,22.5,23.75,22.75,23,23,23,23.5,23.25,23,23.5,22.75,23,23.25,24.5,25.5,26.75,28,25,23,23.25,23.5,24.25,25.5,26.5,26.75,24.75,23.5,23.5,23.5,23.5,24.25,23.75,24.25,23.25,23,24.75,23.25,23.25,24.25,24,24,24.5,1
22.25,23.5,24,25.25,25,24.25,24,23.5,22.75,24,23.75,25.25,24.75,24.5,23.75,23.25,22,22.75,23,23.5,22.75,22.25,22.5,23.75,22.75,23,23,23,23.5,23.25,23,23.5,22.75,23,23.25,24.5,25.5,26.75,28,25,23,23.25,23.5,24.25,25.5,26.5,26.75,24.75,23.5,23.5,23.5,23.5,24.25,23.75,24.25,23.25,23.5,24.25,23.5,24,24.5,24,24,24.25,1
23.25,23.5,23.75,24.5,24.5,24.75,24.25,23.5,22.5,23.75,24,25,24.25,24.5,23.5,24,22,22.75,23.25,23.25,23,22.25,23,23.25,23,23,23,23,22.75,23,23,23.25,22.5,22.5,23,24,25,26.25,28,24.5,22.5,23,23.5,24.5,25,26.25,26,24.25,22.75,23.5,23.5,23.75,23.75,23.5,24.5,23.25,23.5,24.25,23.5,24,24.5,24,24,24.25,1
23.25,23.5,23.75,24.5,24.5,24.75,24.25,23.5,22.5,23.75,24,25,24.25,24.5,23.5,24,22,22.75,23.25,23.25,23,22.25,23,23.25,23,23,23,23,22.75,23,23,23.25,22.5,22.5,23,24,25,26.5,27.5,24,23,23,23.5,24.25,25.75,25.75,25.75,24.5,22.5,23,23.25,23.75,24,24,24,24,23,24.5,23,23.75,23.75,23.25,23.25,24.5,1
23.25,23.75,24,24.75,25.25,24.5,24.25,23.25,22.75,24,24,25,24.25,23.75,23.75,23.25,22.25,23.25,22.75,23.25,22.75,22.75,22.25,23.25,22.75,23,22.75,22.75,23,22.75,22.5,23,22.25,22.75,23,24.25,25.25,26.5,27.5,24,23,23,23.5,24.25,25.75,25.75,25.75,24.5,22.5,23,23.25,23.75,24,24,24,24,23,24.5,23,23.75,23.75,23.25,23.25,24.5,1
23.25,23.75,24,24.75,25.25,24.5,24.25,23.25,22.75,24,24,25,24.25,23.75,23.75,23.75,22.75,23.25,23,23,22.5,22.5,22.5,23.25,23,23.25,23,22.75,22.75,23.25,23.5,23.75,22.5,22.75,23,24,25,26.25,27.75,24,22.75,23.25,23,24.5,25.5,25.75,26,24,23,23.75,23.25,23.75,24.25,24,23.75,23.75,23.25,24.5,24,24,24.25,23.5,23.75,24,1
